path,methods,module,params,files
"/api/home_slogans","GET","home_slogans","","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/htmlCode/verify","POST","htmlCode","html","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
"/api/invitation","GET","invitation","","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/invoices","GET|PUT|POST|DELETE","invoices","include|limit|offset|orderBy","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/invoices/available","GET","invoices","include","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/invoices/count","GET","invoices","limit|offset|orderBy","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/invoices/lastinvoice","GET","invoices","","e950145e3a__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js;fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;e950145e3a13__edt.xiumius.cn_scripts_app_home_c82df5.index.min.js.js;xiumius_home_index.js"
"/api/invoices/list","GET","invoices","limit|offset|orderBy","fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;xiumius_home_index.js"
"/api/invoices/require","POST","invoices","","fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;xiumius_home_index.js"
"/api/invoices/revoke","DELETE","invoices","","fc5bd8c640__xiumius.cn_scripts_app_home_c0e1e8.index.min.js;xiumius_home_index.js"
"/api/issues","POST","issues","report_data","b9de856e7e__edt.xiumius.cn_scripts_app_studio_entries_total_021cc3.main.min.js"
